arch,c,seed,d0_eff,d1_eff,br_rho
XAttn,0.3,0,0.9823690795898438,0.9451622009277344,1.2128982757818378
XAttn,0.5,0,0.982578125,0.5179296875,1.8898097133610632
XAttn,0.7,0,0.9930820465087891,0.9019999694824219,1.3744333847012613
XAttn,0.9,0,0.9943046569824219,0.92458984375,1.4848844391839706
GRU,0.3,0,0.992740249633789,0.7039026641845703,1.5696173011736376
GRU,0.5,0,0.97716796875,0.932294921875,1.1660498481801078
GRU,0.7,0,0.9756092834472656,0.3692481231689453,3.071475413655179
GRU,0.9,0,0.9930038452148438,0.2896678352355957,4.986926204171384
XAttn,0.3,1,0.9901035308837891,0.7102542877197265,1.2640573508774084
XAttn,0.5,1,0.997548828125,0.96359375,1.2438276894790912
XAttn,0.7,1,0.9959394836425781,0.9553065490722656,1.2736087125006845
XAttn,0.9,1,0.9992616271972656,0.999296875,0.9989154464016204
GRU,0.3,1,0.9815782165527344,0.9197677612304688,1.2006137482406518
GRU,0.5,1,0.989169921875,0.992080078125,0.9850115610952439
GRU,0.7,1,0.9983867645263672,0.3781621170043945,3.0635262287097014
GRU,0.9,1,0.998558578491211,0.9991562652587891,0.9991730998712463
XAttn,0.3,2,0.9838925933837891,0.9200489807128907,1.2703522291001856
XAttn,0.5,2,0.98142578125,0.944521484375,1.179056968998057
XAttn,0.7,2,0.998345718383789,0.9521620178222656,1.275136538257804
XAttn,0.9,2,0.9921249389648438,0.9957460784912109,1.0039457127212739
GRU,0.3,2,0.9799784851074219,0.9530781555175781,1.1566674842639684
GRU,0.5,2,0.98607421875,0.94884765625,1.1630011727379306
GRU,0.7,2,0.97251953125,0.9449296569824219,1.1236939355217754
GRU,0.9,2,0.9956581115722656,0.9333613586425781,1.4072701317538274
XAttn,0.3,3,0.9519004058837891,0.9143595123291015,1.2169546265777331
XAttn,0.5,3,0.98423828125,0.905078125,1.4705216212073
XAttn,0.7,3,0.972710952758789,0.37548248291015623,3.0666600772513735
XAttn,0.9,3,0.999736328125,0.9519062042236328,1.3203047522093745
GRU,0.3,3,0.9804940795898438,0.9592715454101562,1.117149525455696
GRU,0.5,3,0.985966796875,0.9577734375,1.1496918647418872
GRU,0.7,3,0.9424687194824218,0.951328125,0.9970462848236882
GRU,0.9,3,0.9923358917236328,0.8804686737060546,1.343070796127208
XAttn,0.3,4,0.9898515319824219,0.9498379516601563,1.1796136787398066
XAttn,0.5,4,0.98359375,0.92875,1.2477158103187924
XAttn,0.7,4,0.9974844360351562,0.9621425628662109,1.3370499470953223
XAttn,0.9,4,0.9976620483398437,0.9985409545898437,1.0007479616169517
GRU,0.3,4,0.9830840301513671,0.8624807739257813,1.3017956117273441
GRU,0.5,4,0.988427734375,0.968818359375,1.1384492000335449
GRU,0.7,4,0.9928770446777344,0.9950371551513671,0.998068407704019
GRU,0.9,4,0.9945858764648438,0.9332382202148437,1.2278844644034945
