arm,c,seed,br6_rho,t6_rho,t6_eff,t12_rho,t12_eff,t24_rho,t24_eff,t48_rho,t48_eff
v1tok,0.5,3,1.9027176182787728,1.5273927881405964,0.996376953125,2.3383131945027493,0.9878125,4.679556230223511,0.964697265625,9.800465233616329,0.9087890625
frac,0.5,4,1.2842911511177042,1.2073239680796006,0.97583984375,1.3696080740447831,0.9169921875,1.5834505794244929,0.75154296875,2.039629073492504,0.545224609375
v1tok,0.5,4,1.9443681431878432,1.2894489038834112,0.999580078125,1.7735433485497722,0.99658203125,3.6997773835250465,0.983369140625,9.713985336481818,0.9378125
frac,0.7,0,1.834846867948007,1.6372476695843332,0.9888711547851563,1.98073675938956,0.9608711242675781,2.355036805553877,0.8910762023925781,2.9002769361168843,0.566587905883789
v1tok,0.7,0,2.1203202047215988,1.5844976002982323,0.9959941101074219,2.4260633468307637,0.990634765625,5.570223458358431,0.9649863433837891,12.584010555382692,0.87982421875
frac,0.7,1,1.7704658290377617,1.5096045577537853,0.996513671875,1.7721844074164488,0.985083999633789,2.8416788364860217,0.9738456726074218,9.271857562141154,0.8444140625
v1tok,0.7,1,1.934310473866999,1.5328858327877048,0.9974296569824219,3.270214843097924,0.9830195617675781,8.657458483857207,0.9163554382324218,20.838251494042744,0.7557929992675781
frac,0.7,2,2.9108737255637864,2.6275564508277105,0.99904296875,5.077853331268237,0.9964042663574219,12.785090871117106,0.9827460479736329,27.00175464556772,0.9128691864013672
v1tok,0.7,2,2.008754886307421,1.6481195208437234,0.9907305145263672,1.9431865224682183,0.9706192016601562,2.6043804650352755,0.909423828125,4.124988665419227,0.7639414215087891
frac,0.7,3,2.22089749145173,1.556209646498646,0.977373046875,1.97563224613238,0.923519515991211,2.4479809947358215,0.776875,3.083124946471308,0.4859648895263672
v1tok,0.7,3,2.259376660061512,1.5173960315309805,0.9999589538574218,1.8110963037546601,0.999521484375,5.0338637191982425,0.9977715301513672,15.746410979135241,0.9904433441162109
frac,0.7,4,2.7206982050224813,1.951249020733988,0.9909492492675781,2.883166372885553,0.9562637329101562,4.833248950688062,0.8312617492675781,16.443535102196115,0.4998965072631836
v1tok,0.7,4,2.1516474215444363,1.5863291135310196,0.999439468383789,1.9501417589229002,0.997607421875,2.888108976735914,0.99029296875,8.248349758111031,0.964248046875
frac,0.9,0,2.277407263790904,1.8254961942412233,0.9933203125,2.3545895806482577,0.9769902038574219,5.737214837572086,0.933466796875,17.191480888520793,0.780625
v1tok,0.9,0,2.1494363087908406,2.139753524293596,0.9951483917236328,2.8123578478691273,0.9803651428222656,6.538274398964757,0.9152909851074219,15.864066692933019,0.7299824523925781
frac,0.9,1,2.035125527512601,1.9577307553017458,0.9940058135986328,2.463222225796291,0.9489179992675781,3.3226718936510142,0.6684062194824218,5.218994010432514,0.15661913871765137
v1tok,0.9,1,1.8567024162625,1.7645965803449937,0.9986112976074218,4.699880604412206,0.993460922241211,13.456721541647756,0.9687284851074218,31.341150982330742,0.886357421875
frac,0.9,2,2.8053612293726378,3.830397559587926,0.9971347045898438,7.668393581962649,0.98875,17.42619835944123,0.9543672180175782,33.92751441353494,0.8240078735351563
v1tok,0.9,2,2.4181782724167364,3.568414318306459,0.9984355163574219,6.748009015314805,0.9937421417236328,15.03187022345756,0.9735096740722656,31.207658857074712,0.9115116882324219
frac,0.9,3,3.539333987344022,3.4388144589452203,0.9698184204101562,6.543531243821789,0.8808906555175782,8.932381917705467,0.6809745788574219,10.008710352918236,0.41967575073242186
v1tok,0.9,3,2.1397206374492073,2.2227413937156486,0.9950077819824219,2.7389548268295085,0.979820327758789,5.459804937561401,0.928316421508789,12.788219106536161,0.7886054992675782
frac,0.9,4,3.8876615412890247,3.231743316324179,0.997099609375,5.818330312766566,0.9897343444824219,10.380749906139432,0.957724609375,19.974391428731828,0.8209492492675782
v1tok,0.9,4,2.221301161022211,2.726308063934823,0.9989276885986328,3.0265852328140728,0.9956405639648438,4.217679423690411,0.9833358764648438,9.564459845515165,0.9472480773925781
