method,c,seed,d0_jain,d0_eff,d1_eff,br_rho,ac_rho
FEN,0.3,0,1.000000024912282,0.7000004577636719,0.7360003662109375,1.0638581899565915,1.0
FEN,0.3,1,1.000000024912282,0.7000004577636719,0.7000004577636719,0.9999804686329195,1.0
FEN,0.3,2,1.000000024912282,0.7000004577636719,0.7000004577636719,0.999960937265839,1.0
FEN,0.3,3,1.000000024912282,0.7000004577636719,0.7360003662109375,1.0638582014968871,1.0
FEN,0.3,4,1.000000024912282,0.7000004577636719,0.7330004119873047,1.0627181317067838,1.0
FEN,0.5,0,0.9999998046877095,0.5000001907348632,0.5000001907348632,1.00000007629391,1.00000007629391
FEN,0.5,1,0.9999998046877095,0.5000001907348632,0.5000001907348632,0.9999805449068194,1.00000007629391
FEN,0.5,2,0.9999998046877095,0.5000001907348632,0.5000002288818359,0.9999610138147716,1.00000007629391
FEN,0.5,3,0.9999998046877095,0.5000001907348632,0.54,1.0924477974752724,1.00000007629391
FEN,0.5,4,0.9999998046877095,0.5000001907348632,0.5000001907348632,1.00000007629391,1.00000007629391
FEN,0.7,0,0.9999998643663747,0.30000001907348633,0.30000001907348633,1.00000006357828,1.00000006357828
FEN,0.7,1,0.9999998643663747,0.30000001907348633,0.30000001907348633,0.9999805320103886,1.00000006357828
FEN,0.7,2,0.9999998643663747,0.30000001907348633,0.30000001907348633,0.9999610004424972,1.00000006357828
FEN,0.7,3,0.9979221627502675,0.6569999694824219,0.6779725646972656,4.904900327692696,4.8813077586358045
FEN,0.7,4,0.9999998643663747,0.30000001907348633,0.30000001907348633,1.00000006357828,1.00000006357828
FEN,0.9,0,0.9999977669215134,0.9640000915527344,0.9730001831054688,5.98457958298512,5.98458363942712
FEN,0.9,1,0.9990843679458941,0.9909998321533203,0.9909999084472656,5.994833750902512,5.994954008189589
FEN,0.9,2,1.0000001525880537,0.09999995231628418,0.09999995231628418,0.9999608423374138,0.9999999046325226
FEN,0.9,3,0.9990843679458941,0.9909998321533203,0.9909999084472656,5.994948084424074,5.994954008189589
FEN,0.9,4,1.0000001525880537,0.09999995231628418,0.12155071258544922,1.4001744373663878,0.9999999046325226
