method,c,seed,d0_jain,d0_eff,d1_eff,br_rho
GGF,0.3,0,1.0,1.0,0.999970703125,2.0063181102267995
GGF,0.3,1,1.0,1.0,0.9999727376302083,2.0064178587250407
GGF,0.3,2,1.0,1.0,0.9999493408203125,2.0056130621434467
GGF,0.3,3,1.0,1.0,0.999968770345052,2.0061795302255563
GGF,0.3,4,1.0,1.0,0.9999649047851562,2.0066051114290913
GGF,0.5,0,1.0,1.0,0.9999251302083333,2.006115791944908
GGF,0.5,1,1.0,1.0,0.9999348958333333,2.006262586080968
GGF,0.5,2,1.0,1.0,0.9999088541666666,2.0055332886977872
GGF,0.5,3,1.0,1.0,0.99994140625,2.006112846243181
GGF,0.5,4,1.0,1.0,0.999931640625,2.0065130575328305
GGF,0.7,0,1.0,1.0,0.9998952229817708,2.006085482793612
GGF,0.7,1,1.0,1.0,0.999904276529948,2.0062122623601546
GGF,0.7,2,1.0,1.0,0.99986328125,2.005448224969948
GGF,0.7,3,1.0,1.0,0.9999361165364583,2.00618566547427
GGF,0.7,4,1.0,1.0,0.9998952229817708,2.0064371144156468
GGF,0.9,0,1.0,1.0,0.9998359171549479,2.0059279896592446
GGF,0.9,1,1.0,1.0,0.9998653157552083,2.0061336832754404
GGF,0.9,2,1.0,1.0,0.9998008219401041,2.0053069537809316
GGF,0.9,3,1.0,1.0,0.9998828125,2.006014770025261
GGF,0.9,4,1.0,1.0,0.9998594156901042,2.0063814182006916
FEN,0.3,0,0.9999949364960989,0.995,0.9961269124348958,1.998686935525726
FEN,0.3,1,0.9998904064025811,0.8999991861979166,0.8999995930989584,2.1826941888900775
FEN,0.3,2,0.9999945375050155,0.9949980672200521,0.9930605061848958,1.9574151889224116
FEN,0.3,3,0.9997340823460794,0.994001973470052,0.9979569498697917,2.0042431289317357
FEN,0.3,4,0.9998904064025811,0.8999991861979166,0.8999995930989584,2.1806694457135443
FEN,0.5,0,0.9997346876238683,0.99,0.9958561197916667,2.000581345610127
FEN,0.5,1,0.9998720163339154,0.8333332824707032,0.8333338419596354,2.3709752722260977
FEN,0.5,2,0.9999128648962426,0.8320865376790365,0.8322856648763021,2.311629235406806
FEN,0.5,3,0.9997346012296554,0.9900032552083333,0.995810546875,2.001123596964445
FEN,0.5,4,1.0,1.0,0.9999934895833333,2.0069466037145243
FEN,0.7,0,0.9999999694265498,0.9579998779296875,0.9552748616536458,1.9867743875690103
FEN,0.7,1,0.9999707619476306,0.9874947102864583,0.9902473958333333,2.0220381622442636
FEN,0.7,2,0.9997339551824668,0.9859908040364583,0.9919927978515625,2.0014041401654152
FEN,0.7,3,0.9999998883898499,0.9859999593098958,0.9857220458984375,2.0040060374567465
FEN,0.7,4,0.9986751523133106,0.9860501098632812,0.9920930989583333,2.001765329782839
FEN,0.9,0,0.9997151480214321,0.9821290079752604,0.9909003702799479,2.019104271271841
FEN,0.9,1,0.9996920382991283,0.9818536376953125,0.9890077718098959,2.007361310242045
FEN,0.9,2,0.9999961205783054,0.9819122314453125,0.9839921061197917,2.0026441100220778
FEN,0.9,3,0.9999959395953051,0.9821935017903646,0.9857030232747396,2.017113683256858
FEN,0.9,4,0.9999955566337742,0.9821466064453125,0.9879355875651041,2.001638104987168
SOTO,0.3,0,1.0,1.0,1.0,2.0066406249999997
SOTO,0.3,1,1.0,1.0,1.0,2.00671875
SOTO,0.3,2,1.0,1.0,1.0,2.006171875
SOTO,0.3,3,1.0,1.0,1.0,2.0065234374999994
SOTO,0.3,4,1.0,1.0,1.0,2.0069921875
SOTO,0.5,0,1.0,1.0,1.0,2.0066406249999997
SOTO,0.5,1,1.0,1.0,1.0,2.00671875
SOTO,0.5,2,1.0,1.0,0.9999967447916667,2.006149050500835
SOTO,0.5,3,1.0,1.0,1.0,2.0065234374999994
SOTO,0.5,4,1.0,1.0,0.9999934895833333,2.0069466037145243
SOTO,0.7,0,1.0,1.0,1.0,2.0066406249999997
SOTO,0.7,1,1.0,1.0,1.0,2.00671875
SOTO,0.7,2,1.0,1.0,0.9999954223632812,2.006147730437931
SOTO,0.7,3,1.0,1.0,0.9999954223632812,2.0064992929379306
SOTO,0.7,4,1.0,1.0,1.0,2.0069921875
SOTO,0.9,0,1.0,1.0,1.0,2.0066406249999997
SOTO,0.9,1,1.0,1.0,1.0,2.00671875
SOTO,0.9,2,1.0,1.0,0.9999825032552083,2.006095592180053
SOTO,0.9,3,1.0,1.0,1.0,2.0065234374999994
SOTO,0.9,4,1.0,1.0,0.999988301595052,2.0069413714664757
