c,seed,d0_eff,br_rho
0.3,0,0.9959276580810547,1.2947068997398494
0.3,1,0.9735566711425782,1.5470814454904698
0.3,2,0.9885039520263672,1.618539119795315
0.3,3,0.9855976867675781,1.7143645628204864
0.3,4,0.9774238586425781,1.2448332190103661
0.5,0,0.97302734375,2.1257848464336817
0.5,1,0.993935546875,1.2750827953523305
0.5,2,0.97818359375,0.9962076677258944
0.5,3,0.945009765625,1.7062472764257612
0.5,4,0.989033203125,1.2122331383674283
0.7,0,0.9737773132324219,1.3406280183406343
0.7,1,0.9952695465087891,1.29432031370306
0.7,2,0.980107421875,0.9979394430913575
0.7,3,0.997880859375,1.5236058685403424
0.7,4,0.9953105926513672,1.40172265029495
0.9,0,0.9967304229736328,1.4942416086266035
0.9,1,0.99841796875,0.9994100027602066
0.9,2,0.9553163909912109,1.0030873003304825
0.9,3,0.99859375,1.000907702962597
0.9,4,0.9911405944824219,1.0026168782758924
0.3,5,0.9823690795898438,1.2128982757818378
0.5,5,0.982578125,1.8898097133610632
0.7,5,0.9930820465087891,1.3744333847012613
0.9,5,0.9943046569824219,1.4848844391839706
0.3,6,0.9901035308837891,1.2640573508774084
0.5,6,0.997548828125,1.2438276894790912
0.7,6,0.9959394836425781,1.2736087125006845
0.9,6,0.9992616271972656,0.9989154464016204
0.3,7,0.9838925933837891,1.2703522291001856
0.5,7,0.98142578125,1.179056968998057
0.7,7,0.998345718383789,1.275136538257804
0.9,7,0.9921249389648438,1.0039457127212739
0.3,8,0.9519004058837891,1.2169546265777331
0.5,8,0.98423828125,1.4705216212073
0.7,8,0.972710952758789,3.0666600772513735
0.9,8,0.999736328125,1.3203047522093745
0.3,9,0.9898515319824219,1.1796136787398066
0.5,9,0.98359375,1.2477158103187924
0.7,9,0.9974844360351562,1.3370499470953223
0.9,9,0.9976620483398437,1.0007479616169517
0.3,10,0.985908203125,1.329827374188557
0.5,10,0.983857421875,1.1966421686555855
0.7,10,0.98673828125,2.9552662623788835
0.9,10,0.9979608917236328,1.619237400416464
0.3,11,0.99326171875,1.282291577178682
0.5,11,0.9813671875,1.222946639993815
0.7,11,0.9951329040527344,0.9990912491922639
0.9,11,0.9972929382324218,1.3148604272459075
0.3,12,0.9939121246337891,1.3955795921632388
0.5,12,0.98822265625,0.9967622625871005
0.7,12,0.9911405944824219,0.9961559439406601
0.9,12,0.98400390625,1.0002972696467096
0.3,13,0.9883867645263672,1.2828883174693082
0.5,13,0.923271484375,1.4137805742795437
0.7,13,0.9806816101074218,1.5074171164608634
0.9,13,0.9977675628662109,1.4355361723458762
0.3,14,0.9704453277587891,1.1643723462011066
0.5,14,0.9904296875,1.21264840094887
0.7,14,0.9934786224365234,1.3813489049251066
0.9,14,0.9896815490722656,1.377968229876266
