regime,c,seed,d0_eff,d1_eff,br_rho
league,0.3,0,0.985908203125,0.8572074127197266,1.329827374188557
vanilla,0.3,0,0.9967479705810547,0.9149689483642578,1.9084808894700103
league,0.5,0,0.983857421875,0.930556640625,1.1966421686555855
vanilla,0.5,0,0.996748046875,0.939990234375,1.970589292623288
league,0.7,0,0.98673828125,0.37653518676757813,2.9552662623788835
vanilla,0.7,0,0.992822265625,0.938681640625,1.903779783307856
league,0.9,0,0.9979608917236328,0.9548768615722656,1.619237400416464
vanilla,0.9,0,0.9943398284912109,0.9174003601074219,2.1260887286146595
league,0.3,1,0.99326171875,0.9241212463378906,1.282291577178682
vanilla,0.3,1,0.9986933898925782,0.9286974334716797,2.082801120077011
league,0.5,1,0.9813671875,0.935263671875,1.222946639993815
vanilla,0.5,1,0.998408203125,0.91787109375,2.1093943733800646
league,0.7,1,0.9951329040527344,0.9965684509277344,0.9990912491922639
vanilla,0.7,1,0.995419921875,0.9080155944824219,1.8942565167322813
league,0.9,1,0.9972929382324218,0.9519412994384766,1.3148604272459075
vanilla,0.9,1,0.99876953125,0.94744140625,1.844837023814592
league,0.3,2,0.9939121246337891,0.7513050079345703,1.3955795921632388
vanilla,0.3,2,0.9878182983398438,0.8977130889892578,2.0247930475919045
league,0.5,2,0.98822265625,0.99181640625,0.9967622625871005
vanilla,0.5,2,0.996591796875,0.94212890625,1.9979321003039943
league,0.7,2,0.9911405944824219,0.9952696228027343,0.9961559439406601
vanilla,0.7,2,0.9975663757324219,0.9334042358398438,2.1548573040833916
league,0.9,2,0.98400390625,0.9921424865722657,1.0002972696467096
vanilla,0.9,2,0.998628921508789,0.9071522521972656,2.7201121343865475
league,0.3,3,0.9883867645263672,0.946943359375,1.2828883174693082
vanilla,0.3,3,0.9672343444824218,0.863629150390625,2.0041776247673795
league,0.5,3,0.923271484375,0.7622071838378907,1.4137805742795437
vanilla,0.5,3,0.990869140625,0.92892578125,1.8749742480927822
league,0.7,3,0.9806816101074218,0.805107421875,1.5074171164608634
vanilla,0.7,3,0.9989335632324219,0.9317362976074218,2.088846805869424
league,0.9,3,0.9977675628662109,0.9287559509277343,1.4355361723458762
vanilla,0.9,3,0.9980312347412109,0.9268925476074219,2.1115516582446006
league,0.3,4,0.9704453277587891,0.9190940093994141,1.1643723462011066
vanilla,0.3,4,0.979662094116211,0.9008243560791016,1.801598505270426
league,0.5,4,0.9904296875,0.95318359375,1.21264840094887
vanilla,0.5,4,0.999638671875,0.928681640625,2.147885160887941
league,0.7,4,0.9934786224365234,0.9328301239013672,1.3813489049251066
vanilla,0.7,4,0.9978671264648438,0.936220703125,2.1286786823402633
league,0.9,4,0.9896815490722656,0.92599609375,1.377968229876266
vanilla,0.9,4,0.9987870788574219,0.9243613433837891,2.4133631554531796
