policy,c,seed,d0_eff,d0_fp,br_rho,br_d1eff,ac_rho,ac_d1eff,patient_rho,patient_d1eff
distill8,0.95,0,0.9947489929199219,0.00552734375,0.9971484374999998,0.9982558441162109,1.840336175189717,0.05949996948242187,0.9999218729110533,0.9982558441162109
distill8,0.95,1,0.9824287414550781,0.01849609375,0.9964392199278855,0.9929862976074219,1.8403361668360239,0.05949996948242187,0.9853568514540104,0.9805547332763672
distill8,0.95,2,0.9964375305175781,0.00375,0.9990639606903542,0.9982558441162109,1.840342741333047,0.05949996948242187,0.9998737984296131,0.9982373046875
distill8,0.95,3,0.989535140991211,0.011015625,1.7353412375933992,0.9681785583496094,1.840346017059224,0.05949996948242187,1.0001186481903543,0.9982558441162109
distill8,0.95,4,0.9982558441162109,0.0018359375,0.9998737984296131,0.9982373046875,1.8403361754777752,0.05949996948242187,0.9944936481903544,0.9946562194824219
league8,0.5,0,0.9778515625,0.044296875,1.3663307929599673,0.886484375,1.8823212651853005,0.51154296875,1.364092205542266,0.888486328125
distill8,1.0,0,0.99263671875,0.00736328125,0.9971484374999998,0.9981640625,6.0,0.01,0.9999218749999998,0.9981640625
distill8,1.0,1,0.98150390625,0.01849609375,0.9992968749999999,0.9926171875,6.0,0.01,0.9923437499999999,0.97953125
distill8,1.0,2,0.99625,0.00375,0.9999218749999998,0.9981640625,6.0,0.01,1.001015625,0.99814453125
distill8,1.0,3,0.988984375,0.011015625,0.991953125,0.9851953125,6.0,0.01,1.0009765625,0.9981640625
distill8,1.0,4,0.9981640625,0.0018359375,1.001015625,0.99814453125,6.0,0.01,0.9953515624999999,0.994375
league8,0.5,1,0.937138671875,0.12572265625,1.3066665416943959,0.87052734375,1.1806310883626399,0.5006153106689453,1.279134342386034,0.893759765625
distill6,0.95,0,0.9235176086425781,0.0805078125,1.3684119552011755,0.9212909698486328,1.840336175189717,0.05949996948242187,0.968095294062622,0.9533535003662109
distill6,0.95,1,0.9373407745361328,0.06595703125,0.9590553151878659,0.931904296875,1.8403361668360239,0.05949996948242187,1.3042428829421329,0.900565414428711
distill6,0.95,2,0.9094345855712891,0.09533203125,0.9567211480765138,0.9343350219726563,1.8403361760538917,0.05949996948242187,0.951700473586925,0.9239814758300782
distill6,0.95,3,0.9140732574462891,0.09044921875,1.3682861377698972,0.908785171508789,1.840336170004666,0.05949996948242187,0.9686084630251246,0.9569345855712891
league8,0.5,2,0.98796875,0.0240625,1.2930308745001278,0.9565625,1.5420193374957158,0.51033203125,1.3165578716350193,0.938349609375
distill6,0.95,4,0.9270986175537109,0.07673828125,0.9887785976909877,0.9310136413574219,1.8403361754777752,0.05949996948242187,0.9603446810720664,0.9405879211425782
distill6,1.0,0,0.92130859375,0.07869140625,0.9764285714285714,0.95412109375,6.0,0.01,0.9840515114481105,0.94904296875
distill6,1.0,1,0.932578125,0.067421875,1.3506276314901076,0.89375,6.0,0.01,1.335144086736879,0.8884375
distill6,1.0,2,0.9030859375,0.0969140625,0.9804028978833665,0.92712890625,6.0,0.01,0.9753727912712287,0.917734375
distill6,1.0,3,0.90216796875,0.09783203125,0.9723278544372294,0.92650390625,5.98828125,0.00998046875,0.9773098671595613,0.95283203125
league8,0.5,3,0.956435546875,0.08712890625,2.169124275690926,0.5458598327636719,2.170014082732979,0.5457914733886718,2.1706938105220255,0.5459867858886719
distill6,1.0,4,0.9196484375,0.0803515625,0.9864195374937561,0.93421875,6.0,0.01,0.9811992694805194,0.933515625
league8,0.5,4,0.970537109375,0.05892578125,2.4231553335518994,0.5853125,2.526890755333707,0.5534375,2.4403484617672757,0.5809864044189453
league8,0.95,0,0.9831893920898438,0.0176953125,1.7504931815283253,0.8434725952148437,5.427590205409031,0.2588700485229492,1.7440039574302793,0.8462001037597656
league8,0.95,1,0.982001953125,0.0189453125,1.4876755137773872,0.8443817138671875,2.624489735969786,0.06723731040954589,1.505672574323737,0.8328407287597657
league8,0.95,2,0.999332046508789,0.000703125,5.9249460679040915,0.6921778869628906,5.926561813051995,0.6966867065429687,5.92634391958883,0.6965939331054688
league8,0.95,3,0.9886074829101562,0.0119921875,2.2859970950547597,0.8805634307861329,4.431996394646134,0.12538765907287597,2.2875233355715574,0.8785780334472656
league8,0.95,4,0.9857499694824219,0.015,1.982424093179779,0.8018357849121094,5.311013717396895,0.23014739990234376,1.8993405806179497,0.8355311584472657
league8,1.0,0,0.98083984375,0.01916015625,2.9276558788153353,0.768203125,6.0,0.329296875,2.9498607311098692,0.76265625
league8,1.0,1,0.9891015625,0.0108984375,2.3117612622800223,0.7976953125,6.0,0.1830078125,2.4527370806517315,0.74505859375
league8,1.0,2,0.98958984375,0.01041015625,1.5479400804806356,0.86275390625,6.0,0.16708984375,1.4695339699597412,0.9140234375
league8,1.0,3,0.9892578125,0.0107421875,1.6551526609745235,0.93392578125,6.0,0.09763671875,1.6595987352253245,0.933359375
league8,1.0,4,0.98669921875,0.01330078125,2.378843020885598,0.8223046875,6.0,0.15935546875,2.4921464763083003,0.78462890625
