arm,c,seed,br6_rho,t6_rho,t6_eff,t12_rho,t12_eff,t24_rho,t24_eff,t48_rho,t48_eff
maxagg,0.3,0,1.7526929324882845,1.1271083049250623,0.996865234375,1.2525107049478281,0.987431640625,1.460108662845852,0.966097640991211,1.7538214751809034,0.924156265258789
maxagg,0.3,1,1.5128864194380842,1.2155464110302288,0.9932382202148438,1.314706483357662,0.8362012481689454,1.8155278048535397,0.7647344970703125,2.774998945645174,0.76427734375
maxagg,0.3,2,1.9920490208200234,1.1874433069828823,0.99390625,1.3940443717295214,0.9875605773925781,2.0932584407419714,0.977529296875,4.060680833399509,0.9605722808837891
maxagg,0.3,3,1.5475896000342508,1.1795156069620836,0.9673574829101562,1.1217812210140425,0.7924317169189453,1.1232052720954613,0.7213633728027343,1.1250113959374866,0.7021739196777343
maxagg,0.3,4,1.8170206140916692,1.157336825008806,0.9711074829101562,1.2387899018008681,0.9236756896972657,1.3343281475765556,0.8404727172851563,1.4106757922178048,0.7435469055175781
maxagg,0.5,0,1.6660531286069216,1.3311945051647136,0.99158203125,1.4858896856149175,0.966669921875,1.6412755081687942,0.899384765625,1.7385497607689748,0.7619921875
maxagg,0.5,1,1.4766037602519972,1.2996565364735666,0.993388671875,1.4225841010658904,0.87232421875,1.823635098195259,0.6588671875,2.5357731187598525,0.6173828125
maxagg,0.5,2,1.718652604974952,1.4966743764643193,0.990146484375,1.8146548971285483,0.96162109375,2.254231699398435,0.89908203125,2.832469937668871,0.7765234375
maxagg,0.5,3,1.6496761432487086,1.414085568763783,0.992373046875,1.5275846795685821,0.9621484375,1.8278964178919073,0.86087890625,2.524365151246831,0.68154296875
maxagg,0.5,4,1.8141359726181956,1.3371697717472997,0.99943359375,1.558424946834867,0.997998046875,1.8952845441802872,0.990908203125,2.4432055525397347,0.965859375
maxagg,0.7,0,1.7662365933199462,1.431968114161631,0.994052734375,1.6234355076954996,0.969662094116211,1.8948697394888177,0.876761703491211,2.2165815928563632,0.6684297180175781
maxagg,0.7,1,1.7523663191612582,1.6319190668415677,0.99904296875,1.9913077224785134,0.9930821228027343,3.6682461981235885,0.9389004516601562,7.537869075404102,0.727177734375
maxagg,0.7,2,2.1140923051981524,2.5025287293315124,0.9999726867675781,3.920677237641618,0.9995624542236328,7.349768861949249,0.997621078491211,14.023612485730785,0.9917695617675781
maxagg,0.7,3,2.0067228655934155,1.957742249669392,0.999931640625,3.163569968646881,0.99931640625,6.894594512756361,0.9950645446777344,15.769444840643292,0.9742011260986329
maxagg,0.7,4,2.260105072018438,1.7624872454730611,0.9981133270263672,1.915470216277244,0.988447265625,2.234074481988114,0.9487031555175781,2.7890217959828547,0.8373182678222656
maxagg,0.9,0,2.307663469132496,2.2374481392451444,0.9972050476074219,3.251052623056564,0.988257827758789,5.26505414325016,0.9525566101074219,7.092450046255944,0.84513671875
maxagg,0.9,1,1.8482421448994752,2.071811387445522,0.9984355163574219,3.741595484862697,0.990296859741211,8.49092796627821,0.931216812133789,17.14215931903693,0.7048457336425781
maxagg,0.9,2,2.3764760961472726,4.008140242634784,0.9982597351074218,4.885615969622226,0.9933729553222657,5.992395131890982,0.9721562194824219,7.435618621366264,0.9086991882324219
maxagg,0.9,3,2.0825771917001084,1.869438303257022,0.9961679077148438,2.3726434573606405,0.9812969207763672,3.360983718813595,0.9314981079101563,5.124054873078914,0.7818906402587891
maxagg,0.9,4,2.713337163923045,2.3703568850991537,0.99859375,2.600235434123911,0.9935664367675782,3.5450766750860754,0.972718734741211,5.323664193969359,0.8999101257324219
