method,c,seed,d0_jain,d0_eff,d1_eff,br_rho,ac_rho
SOTO,0.3,0,0.9994806273987794,0.7209006500244141,0.7024729919433593,1.494926847112223,1.4959179648860204
SOTO,0.3,1,0.9994252434289768,0.9947383117675781,0.9563711547851562,1.4837812710017524,1.5971683360135311
SOTO,0.3,2,0.9996190854056977,0.9129825592041015,0.707535400390625,1.6246760591311007,1.6260732282649069
SOTO,0.3,3,0.999161291183452,0.8796836853027343,0.7102014923095703,1.5450325469423971,1.5453266383064486
SOTO,0.3,4,0.9995557073549588,0.9831893920898438,0.9158302307128906,1.3957690651996697,1.4820396734331835
SOTO,0.5,0,0.999200540445821,0.999921875,0.931123046875,1.848355710398296,2.3000973277152412
SOTO,0.5,1,0.9995825119882833,0.9490625,0.871083984375,1.463316301620782,1.9526948243175823
SOTO,0.5,2,0.9992655664921151,0.99763671875,0.900009765625,1.902145605677548,2.551989909282838
SOTO,0.5,3,0.9992900061250435,0.943623046875,0.518193359375,1.5848760026706952,1.586721483494574
SOTO,0.5,4,0.9995100759060189,0.98263671875,0.932001953125,1.2888435149154893,1.687822873667725
SOTO,0.7,0,0.9992885096976132,0.9894863891601563,0.9503437042236328,1.3367722822628665,2.079256242996527
SOTO,0.7,1,0.999602860094427,0.97525390625,0.8577168273925782,1.5780373811424202,2.833282619028895
SOTO,0.7,2,0.9996188770192405,0.9705507659912109,0.868968734741211,1.4745881765646764,2.4650717009224565
SOTO,0.7,3,0.9991852706054702,0.919951171875,0.8942890930175781,1.2324490558132846,2.4932291115700522
SOTO,0.7,4,0.9993362470825902,0.9886387634277344,0.9094921875,1.5234814996923856,2.650963796571941
SOTO,0.9,0,0.9991804346545817,0.996923828125,0.9166796875,1.7264851686285256,3.549779313929614
SOTO,0.9,1,0.999186850194592,0.9952011108398438,0.9128125,1.9589988942202279,4.55777063550828
SOTO,0.9,2,0.9991819839957208,0.9946034240722657,0.9050253295898437,1.977938936345837,4.559286639852493
SOTO,0.9,3,0.9991959699288054,0.9865878295898437,0.8930194854736329,1.5361941857411372,4.436250487851606
SOTO,0.9,4,0.999178888709833,0.9920722198486328,0.9104921722412109,2.004440551385017,4.209466648451272
