c,seed,d0_eff,d1_rho,br_rho,t6_rho,t12_rho,t24_rho,t6_eff,t12_eff,t24_eff
0.3,0,0.9875077819824218,1.2728943607810022,1.8340088651215556,1.2728943607810022,1.5137773896333442,2.0831537972473635,0.9875077819824218,0.9698593139648437,0.9377734375
0.3,1,0.985052719116211,1.0991337473586191,1.8763573711652097,1.0991337473586191,1.2487890521281724,1.6627979066506977,0.985052719116211,0.9785722351074219,0.958017578125
0.3,2,0.990009765625,1.2934601465476594,1.8204734629122687,1.2934601465476594,1.5782729840310143,2.327243225704488,0.990009765625,0.9575956726074218,0.9006015014648437
0.3,3,0.978736343383789,1.188644844630467,1.9087108599130902,1.188644844630467,1.3506397654491533,1.8502136295355176,0.978736343383789,0.9616796875,0.9336776733398438
0.3,4,0.9834883117675781,1.1364326851820428,1.7033142847575538,1.1364326851820428,1.271914624735695,1.5964357322175686,0.9834883117675781,0.957818374633789,0.91240234375
0.5,0,0.99966796875,1.2858796259520062,1.9604394066030957,1.2858796259520062,1.6855678568198416,3.2355515820314262,0.99966796875,0.999140625,0.99658203125
0.5,1,0.998935546875,1.1816444289689487,2.1069064265410047,1.1816444289689487,1.6354393482478824,3.729584249643126,0.998935546875,0.999306640625,0.99779296875
0.5,2,0.993818359375,1.752994222531997,2.0292416348447464,1.752994222531997,2.436368189308923,4.0554614801037445,0.993818359375,0.96953125,0.9040234375
0.5,3,0.989052734375,1.3494612049494341,1.9743230023637728,1.3494612049494341,1.9725562753813402,4.296577426072428,0.989052734375,0.973486328125,0.9402734375
0.5,4,0.999697265625,1.5983045330928087,2.1602689848186403,1.5983045330928087,2.0998049654110225,3.626400535666041,0.999697265625,0.998291015625,0.99330078125
0.7,0,0.9881192016601562,1.4483803022645483,1.8947874851154225,1.4483803022645483,1.9472561529268515,3.770295896865343,0.9881192016601562,0.9550605773925781,0.8480097961425781
0.7,1,0.9987422180175781,1.5330812437200942,1.8811739856724845,1.5330812437200942,3.256386462251156,8.862316175108933,0.9987422180175781,0.9882011413574219,0.9275390625
0.7,2,0.999111328125,2.3836249965361374,2.1780461347847235,2.3836249965361374,3.4977557741678176,7.2677912574702255,0.999111328125,0.9957481384277344,0.982144546508789
0.7,3,0.9984687805175781,1.6545803966056882,2.146113078582274,1.6545803966056882,2.88075763401933,6.9018282171882515,0.9984687805175781,0.9910176086425782,0.9596406555175782
0.7,4,0.9994258117675782,1.5745244501491271,2.325447899369869,1.5745244501491271,1.994605729603797,2.8305675258855203,0.9994258117675782,0.9980312347412109,0.9923438262939454
0.9,0,0.9945858764648438,1.9639505899468133,2.1141487818908633,1.9639505899468133,2.515146305111056,4.77909827475705,0.9945858764648438,0.9827206420898438,0.9464921569824218
0.9,1,0.9949549865722657,1.8822060599763126,1.8716945051266234,1.8822060599763126,2.3390293279990706,5.513525612490655,0.9949549865722657,0.9737734985351563,0.8906288909912109
0.9,2,0.9987519073486328,4.4338760512394035,2.697738674202522,4.4338760512394035,7.1425538481105795,14.767581838411076,0.9987519073486328,0.9945331573486328,0.9765156555175781
0.9,3,0.9989453125,3.3179300865352794,2.3929330931485704,3.3179300865352794,7.415689663972227,16.167741682999655,0.9989453125,0.9957636260986328,0.980013656616211
0.9,4,0.9948847198486328,2.1745911001968636,2.087309550514541,2.1745911001968636,2.550229142934787,3.5888366960361293,0.9948847198486328,0.9764628601074219,0.914517593383789
