c,seed,d0_eff,br_rho
0.3,0,0.9875077819824218,1.8340088651215556
0.3,1,0.985052719116211,1.8763573711652097
0.3,2,0.990009765625,1.8204734629122687
0.3,3,0.978736343383789,1.9087108599130902
0.3,4,0.9834883117675781,1.7033142847575538
0.5,0,0.99966796875,1.9604394066030957
0.5,1,0.998935546875,2.1069064265410047
0.5,2,0.993818359375,2.0292416348447464
0.5,3,0.989052734375,1.9743230023637728
0.5,4,0.999697265625,2.1602689848186403
0.7,0,0.9881192016601562,1.8947874851154225
0.7,1,0.9987422180175781,1.8811739856724845
0.7,2,0.999111328125,2.1780461347847235
0.7,3,0.9984687805175781,2.146113078582274
0.7,4,0.9994258117675782,2.325447899369869
0.9,0,0.9945858764648438,2.1141487818908633
0.9,1,0.9949549865722657,1.8716945051266234
0.9,2,0.9987519073486328,2.697738674202522
0.9,3,0.9989453125,2.3929330931485704
0.9,4,0.9948847198486328,2.087309550514541
0.3,5,0.9967479705810547,1.9084808894700103
0.5,5,0.996748046875,1.970589292623288
0.7,5,0.992822265625,1.903779783307856
0.9,5,0.9943398284912109,2.1260887286146595
0.3,6,0.9986933898925782,2.082801120077011
0.5,6,0.998408203125,2.1093943733800646
0.7,6,0.995419921875,1.8942565167322813
0.9,6,0.99876953125,1.844837023814592
0.3,7,0.9878182983398438,2.0247930475919045
0.5,7,0.996591796875,1.9979321003039943
0.7,7,0.9975663757324219,2.1548573040833916
0.9,7,0.998628921508789,2.7201121343865475
0.3,8,0.9672343444824218,2.0041776247673795
0.5,8,0.990869140625,1.8749742480927822
0.7,8,0.9989335632324219,2.088846805869424
0.9,8,0.9980312347412109,2.1115516582446006
0.3,9,0.979662094116211,1.801598505270426
0.5,9,0.999638671875,2.147885160887941
0.7,9,0.9978671264648438,2.1286786823402633
0.9,9,0.9987870788574219,2.4133631554531796
