c,seed,d0_eff,d1_eff,br_rho
0.3,0,0.8974609375,0.7234318542480469,5.525360351950837
0.5,0,0.98546875,0.57220703125,5.990647100457693
0.7,0,0.9993984985351563,0.4328490447998047,5.996901257417221
0.9,0,0.9989277648925782,0.9180860137939453,1.8070575805613993
0.3,1,0.885689468383789,0.711285400390625,5.6074562107239245
0.5,1,0.9163671875,0.539521484375,5.445123310499978
0.7,1,0.993505859375,0.3199059295654297,5.995370505446873
0.9,1,0.9955878448486328,0.9211796569824219,1.4243315015122393
0.3,2,0.8176152038574219,0.7073185729980469,4.6334405373910315
0.5,2,0.764248046875,0.531318359375,5.483991925467313
0.7,2,0.9642617797851563,0.41465187072753906,5.365458743657916
0.9,2,0.9962733459472656,0.8117733001708984,2.642828984421769
0.3,3,0.8760566711425781,0.7311426544189453,5.9295752335573875
0.5,3,0.952119140625,0.57646484375,5.973644511625751
0.7,3,0.9941758728027343,0.7304723358154297,4.144841661741102
0.9,3,0.9722090148925782,0.8706953430175781,2.051879618965204
0.3,4,0.9201249694824218,0.714508056640625,5.713098748399306
0.5,4,0.999951171875,0.95740234375,5.748057475934618
0.7,4,0.9647265625,0.7839569091796875,3.114496729763629
0.9,4,0.9952538299560547,0.8041094207763672,2.6348936166789496
