c,seed,d0_eff,d1_eff,br_rho
0.3,0,0.9698050689697265,0.7858295440673828,1.8917594504201916
0.5,0,0.986513671875,0.88527587890625,1.4191983575883917
0.7,0,0.9844662475585938,0.9966640472412109,1.0051400244499475
0.9,0,0.9793852233886718,0.6700996398925781,1.925528454967202
0.3,1,0.697078857421875,0.7004434204101563,1.0998135275219112
0.5,1,0.9047900390625,0.7018505096435547,1.6886278174909686
0.7,1,0.9671885681152343,0.7199520874023437,1.6843715616665884
0.9,1,0.9899320983886719,0.80672119140625,1.8901596572301158
0.3,2,0.9793588256835938,0.8606449890136719,1.8029053811965552
0.5,2,0.96948486328125,0.5401806640625,2.081807704861472
0.7,2,0.9815951538085937,0.8885752105712891,1.4444969671756647
0.9,2,0.9416977691650391,0.6167501831054687,5.777550934427015
0.3,3,0.9180608367919922,0.7325340270996094,2.1281994274540175
0.5,3,0.9332421875,0.819833984375,1.415746469937433
0.7,3,0.8860425567626953,0.4052201080322266,2.8786810822284026
0.9,3,0.966610336303711,0.2893004608154297,4.9825404667749975
0.3,4,0.9385423278808593,0.7718490600585938,1.8582177906126947
0.5,4,0.892412109375,0.570009765625,2.024522729642924
0.7,4,0.9249936676025391,0.7310762023925781,1.734870959205447
0.9,4,0.9874579620361328,0.5618828964233399,5.693103842397457
