c,seed,d0_eff,br_rho
0.3,0,0.9959276580810547,1.2947068997398494
0.3,1,0.9735566711425782,1.5470814454904698
0.3,2,0.9885039520263672,1.618539119795315
0.3,3,0.9855976867675781,1.7143645628204864
0.3,4,0.9774238586425781,1.2448332190103661
0.5,0,0.97302734375,2.1257848464336817
0.5,1,0.993935546875,1.2750827953523305
0.5,2,0.97818359375,0.9962076677258944
0.5,3,0.945009765625,1.7062472764257612
0.5,4,0.989033203125,1.2122331383674283
0.7,0,0.9737773132324219,1.3406280183406343
0.7,1,0.9952695465087891,1.29432031370306
0.7,2,0.980107421875,0.9979394430913575
0.7,3,0.997880859375,1.5236058685403424
0.7,4,0.9953105926513672,1.40172265029495
0.9,0,0.9967304229736328,1.4942416086266035
0.9,1,0.99841796875,0.9994100027602066
0.9,2,0.9553163909912109,1.0030873003304825
0.9,3,0.99859375,1.000907702962597
0.9,4,0.9911405944824219,1.0026168782758924
